index,epoch,gold_label,predicted_label,predicted_label q2 ffnn,correct q2 ffnn?,predicted_label,predicted_label q2 rnn,predicted_label,predicted_label q3 ffnn,predicted_label,predicted_label q3 rnn,predicted_label,predicted_label q1 ffnn,predicted_label,predicted_label q1 rnn,
0,1,0,tensor(1),1,0,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
1,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(1),1,tensor(0),0,
2,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,
3,1,0,tensor(1),1,0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,
4,1,0,tensor(3),3,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(3),3,tensor(0),0,
5,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(4),4,
6,1,0,tensor(1),1,0,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
7,1,0,tensor(1),1,0,tensor(3),3,tensor(1),1,tensor(4),4,tensor(1),1,tensor(0),0,
8,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
9,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
10,1,0,tensor(1),1,0,tensor(2),2,tensor(1),1,tensor(1),1,tensor(0),0,tensor(2),2,
11,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
12,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
13,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
14,1,0,tensor(3),3,0,tensor(1),1,tensor(3),3,tensor(1),1,tensor(3),3,tensor(0),0,
15,1,0,tensor(0),0,1,tensor(3),3,tensor(1),1,tensor(2),2,tensor(0),0,tensor(0),0,
16,1,0,tensor(0),0,1,tensor(4),4,tensor(1),1,tensor(4),4,tensor(0),0,tensor(0),0,
17,1,0,tensor(2),2,0,tensor(2),2,tensor(1),1,tensor(2),2,tensor(3),3,tensor(2),2,
18,1,0,tensor(3),3,0,tensor(2),2,tensor(1),1,tensor(1),1,tensor(3),3,tensor(0),0,
19,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
20,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
21,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
22,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
23,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
24,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
25,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(3),3,tensor(2),2,
26,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
27,1,0,tensor(1),1,0,tensor(2),2,tensor(1),1,tensor(2),2,tensor(1),1,tensor(2),2,
28,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(0),0,tensor(0),0,tensor(2),2,
29,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
30,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
31,1,0,tensor(2),2,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(2),2,tensor(2),2,
32,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
33,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
34,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
35,1,0,tensor(3),3,0,tensor(1),1,tensor(0),0,tensor(1),1,tensor(3),3,tensor(2),2,
36,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(1),1,tensor(1),1,
37,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
38,1,0,tensor(4),4,0,tensor(1),1,tensor(0),0,tensor(2),2,tensor(3),3,tensor(0),0,
39,1,0,tensor(1),1,0,tensor(2),2,tensor(1),1,tensor(1),1,tensor(1),1,tensor(2),2,
40,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(3),3,
41,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
42,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(1),1,tensor(0),0,
43,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
44,1,0,tensor(0),0,1,tensor(3),3,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
45,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(0),0,tensor(0),0,
46,1,0,tensor(0),0,1,tensor(3),3,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
47,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
48,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
49,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
50,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
51,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
52,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
53,1,0,tensor(0),0,1,tensor(3),3,tensor(0),0,tensor(2),2,tensor(0),0,tensor(2),2,
54,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
55,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
56,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
57,1,0,tensor(1),1,0,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
58,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
59,1,0,tensor(1),1,0,tensor(2),2,tensor(0),0,tensor(1),1,tensor(1),1,tensor(2),2,
60,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
61,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
62,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
63,1,0,tensor(0),0,1,tensor(3),3,tensor(0),0,tensor(2),2,tensor(0),0,tensor(2),2,
64,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
65,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
66,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
67,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(4),4,
68,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
69,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
70,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
71,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
72,1,0,tensor(1),1,0,tensor(1),1,tensor(1),1,tensor(1),1,tensor(0),0,tensor(0),0,
73,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
74,1,0,tensor(0),0,1,tensor(3),3,tensor(0),0,tensor(2),2,tensor(0),0,tensor(0),0,
75,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
76,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
77,1,0,tensor(0),0,1,tensor(2),2,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
78,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
79,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
80,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
81,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
82,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
83,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
84,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
85,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
86,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(0),0,
87,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
88,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(0),0,tensor(0),0,tensor(2),2,
89,1,0,tensor(0),0,1,tensor(4),4,tensor(0),0,tensor(4),4,tensor(0),0,tensor(0),0,
90,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(2),2,
91,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
92,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(2),2,tensor(0),0,tensor(2),2,
93,1,0,tensor(0),0,1,tensor(1),1,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
94,1,0,tensor(0),0,1,tensor(0),0,tensor(0),0,tensor(1),1,tensor(0),0,tensor(0),0,
